threshold,queries_evaluated,tp,fp,tn,fn,precision,recall,f1,accuracy,retrieval_rate
0.5,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.51,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.52,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.53,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.54,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.55,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.56,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.57,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.58,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.59,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.6,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.61,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.62,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.63,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.64,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.65,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.66,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.67,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.68,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.69,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.7,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.71,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.72,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.73,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.74,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.75,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.76,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.77,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.78,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.79,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.8,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.81,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.82,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.83,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.84,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.85,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.86,200,200,0,0,0,1.0,1.0,1.0,1.0,1.0
0.87,200,199,0,0,1,1.0,0.995,0.9974937343358395,0.995,0.995
0.88,200,197,0,0,3,1.0,0.985,0.9924433249370278,0.985,0.985
0.89,200,195,0,0,5,1.0,0.975,0.9873417721518987,0.975,0.975
0.9,200,192,0,0,8,1.0,0.96,0.9795918367346939,0.96,0.96
0.91,200,183,0,0,17,1.0,0.915,0.9556135770234987,0.915,0.915
0.92,200,169,0,0,31,1.0,0.845,0.9159891598915989,0.845,0.845
0.93,200,152,0,0,48,1.0,0.76,0.8636363636363636,0.76,0.76
0.94,200,129,0,0,71,1.0,0.645,0.78419452887538,0.645,0.645
0.95,200,90,0,0,110,1.0,0.45,0.6206896551724138,0.45,0.45
0.96,200,46,0,0,154,1.0,0.23,0.3739837398373984,0.23,0.23
0.97,200,27,0,0,173,1.0,0.135,0.2378854625550661,0.135,0.135
0.98,200,18,0,0,182,1.0,0.09,0.16513761467889906,0.09,0.09
0.99,200,17,0,0,183,1.0,0.085,0.1566820276497696,0.085,0.085
