threshold,queries_evaluated,tp,fp,tn,fn,precision,recall,f1,accuracy,retrieval_rate
0.5,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.51,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.52,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.53,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.54,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.55,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.56,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.57,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.58,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.59,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.6,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.61,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.62,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.63,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.64,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.65,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.66,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.67,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.68,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.69,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.7,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.71,632,612,20,0,0,0.9683544303797469,1.0,0.9839228295819936,0.9683544303797469,1.0
0.72,632,611,20,0,1,0.9683042789223455,0.9983660130718954,0.9831053901850363,0.9667721518987342,0.9984177215189873
0.73,632,611,20,0,1,0.9683042789223455,0.9983660130718954,0.9831053901850363,0.9667721518987342,0.9984177215189873
0.74,632,611,20,0,1,0.9683042789223455,0.9983660130718954,0.9831053901850363,0.9667721518987342,0.9984177215189873
0.75,632,611,20,0,1,0.9683042789223455,0.9983660130718954,0.9831053901850363,0.9667721518987342,0.9984177215189873
0.76,632,611,20,0,1,0.9683042789223455,0.9983660130718954,0.9831053901850363,0.9667721518987342,0.9984177215189873
0.77,632,611,20,0,1,0.9683042789223455,0.9983660130718954,0.9831053901850363,0.9667721518987342,0.9984177215189873
0.78,632,611,20,0,1,0.9683042789223455,0.9983660130718954,0.9831053901850363,0.9667721518987342,0.9984177215189873
0.79,632,611,20,0,1,0.9683042789223455,0.9983660130718954,0.9831053901850363,0.9667721518987342,0.9984177215189873
0.8,632,611,20,0,1,0.9683042789223455,0.9983660130718954,0.9831053901850363,0.9667721518987342,0.9984177215189873
0.81,632,611,20,0,1,0.9683042789223455,0.9983660130718954,0.9831053901850363,0.9667721518987342,0.9984177215189873
0.82,632,611,20,0,1,0.9683042789223455,0.9983660130718954,0.9831053901850363,0.9667721518987342,0.9984177215189873
0.83,632,611,20,0,1,0.9683042789223455,0.9983660130718954,0.9831053901850363,0.9667721518987342,0.9984177215189873
0.84,632,611,20,0,1,0.9683042789223455,0.9983660130718954,0.9831053901850363,0.9667721518987342,0.9984177215189873
0.85,632,611,20,0,1,0.9683042789223455,0.9983660130718954,0.9831053901850363,0.9667721518987342,0.9984177215189873
0.86,632,609,20,0,3,0.9682034976152624,0.9950980392156863,0.9814665592264304,0.9636075949367089,0.995253164556962
0.87,632,607,20,0,5,0.9681020733652312,0.9918300653594772,0.9798224374495561,0.9604430379746836,0.9920886075949367
0.88,632,600,20,0,12,0.967741935483871,0.9803921568627451,0.9740259740259739,0.9493670886075949,0.9810126582278481
0.89,632,591,20,0,21,0.967266775777414,0.9656862745098039,0.9664758789860998,0.935126582278481,0.9667721518987342
0.9,632,580,19,1,32,0.9682804674457429,0.9477124183006536,0.9578860445912469,0.9193037974683544,0.9477848101265823
0.91,632,553,19,1,59,0.9667832167832168,0.9035947712418301,0.9341216216216216,0.8765822784810127,0.9050632911392406
0.92,632,504,19,1,108,0.9636711281070746,0.8235294117647058,0.8881057268722466,0.7990506329113924,0.8275316455696202
0.93,632,442,19,1,170,0.9587852494577006,0.7222222222222222,0.8238583410997203,0.7009493670886076,0.7294303797468354
0.94,632,361,19,1,251,0.95,0.5898692810457516,0.7278225806451614,0.5727848101265823,0.6012658227848101
0.95,632,245,19,1,367,0.928030303030303,0.40032679738562094,0.5593607305936072,0.38924050632911394,0.4177215189873418
0.96,632,138,19,1,474,0.8789808917197452,0.22549019607843138,0.35890767230169046,0.2199367088607595,0.24841772151898733
0.97,632,69,19,1,543,0.7840909090909091,0.11274509803921569,0.19714285714285712,0.11075949367088607,0.13924050632911392
0.98,632,39,19,1,573,0.6724137931034483,0.06372549019607843,0.1164179104477612,0.06329113924050633,0.09177215189873418
0.99,632,33,19,1,579,0.6346153846153846,0.05392156862745098,0.0993975903614458,0.05379746835443038,0.08227848101265822
